"logmicrobid","logid","logLoc","rep_code","sampleName"
763,668,"t","z","W7t"
765,668,"b","z","W7b"
764,669,"t",NA,"W7t"
766,669,"b",NA,"W7b"
871,764,"t","z","W8t"
873,764,"b","z","W8b"
872,765,"t",NA,"W8t"
874,765,"b",NA,"W8b"
106,95,"t","z","X1t"
107,95,"b","z","X1b"
108,96,"mush",NA,"X1_"
217,191,"t","z","X2t"
218,191,"b","z","X2b"
219,192,"mush",NA,"X2_"
326,287,"t","z","X3t"
328,287,"b","z","X3b"
327,288,"t",NA,"X3t"
329,288,"b",NA,"X3b"
437,383,"t","z","X4t"
439,383,"b","z","X4b"
438,384,"t",NA,"X4t"
440,384,"b",NA,"X4b"
547,479,"t","z","X5t"
548,479,"b","z","X5b"
549,480,"mush",NA,"X5_"
658,575,"t","z","X6t"
660,575,"b","z","X6b"
659,576,"t",NA,"X6t"
661,576,"b",NA,"X6b"
767,671,"t","z","X7t"
768,671,"b","z","X7b"
769,672,"mush",NA,"X7_"
875,767,"t","z","X8t"
876,767,"b","z","X8b"
877,768,"mush",NA,"X8_"
